Current Evaluation Model of Likelihood to Leave,EmployeeLeft,Hired through SMTP,Marked for PHT Program,Recruiting Location Code,Salary,"Survey, Relative, Attitude toward Environment","Survey, Relative, Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Work/Life Balance",University
37.1,0.0,0,0,27999,45719.96,3,4,2,1,Enugu State University of Science and Technology
53.5,0.0,1,0,81996,43578.12,5,2,3,2,Université de Corse Pascal Paoli
41.9,0.0,1,0,63997,47335.02,2,4,2,1,Enugu State University of Science and Technology
53.3,1.0,0,1,81996,76100.35,5,3,4,2,NHTV Breda University of Professional Education
38.4,1.0,1,0,81996,55471.02,5,5,2,1,St. Norbert College
34.3,1.0,0,0,81996,43994.67,5,8,1,3,St. Norbert College
26.7,0.0,1,1,63997,45501.92,5,6,3,3,COMSATS Institute of Information Technology
34.2,1.0,1,0,27999,53399.74,5,5,1,1,St. Norbert College
49.1,1.0,1,0,63997,53935.15,5,2,7,3,St. Norbert College
44.0,0.0,0,1,10000,60317.51,4,1,2,1,Nazarene Bible College
45.4,0.0,0,1,45998,49503.84,3,1,1,1,Enugu State University of Science and Technology
33.3,1.0,0,0,63997,51452.73,5,4,3,2,St. Norbert College
42.6,1.0,0,1,45998,52215.88,4,4,2,3,St. Norbert College
58.4,0.0,1,1,27999,43653.34,3,4,2,1,St. Norbert College
45.7,1.0,1,0,81996,45979.94,5,5,3,3,St. Norbert College
42.8,0.0,1,1,27999,47229.63,5,3,6,1,NHTV Breda University of Professional Education
36.2,1.0,0,0,81996,51636.62,4,6,3,1,St. Norbert College
20.9,1.0,1,1,81996,57003.86,4,1,4,3,St. Norbert College
28.2,1.0,1,1,63997,44336.22,3,3,3,5,St. Norbert College
48.5,1.0,0,0,81996,47180.94,5,3,1,5,COMSATS Institute of Information Technology
45.5,1.0,0,1,63997,50201.07,5,4,2,2,St. Norbert College
41.8,0.0,1,0,81996,45028.63,3,6,2,3,Enugu State University of Science and Technology
43.3,1.0,0,0,10000,44720.97,5,2,3,4,St. Norbert College
37.7,0.0,0,1,63997,43917.31,2,5,2,2,Enugu State University of Science and Technology
43.5,0.0,0,1,10000,44096.25,4,2,3,3,Université de Corse Pascal Paoli
35.2,0.0,1,0,81996,43342.08,3,8,1,5,Université de Corse Pascal Paoli
41.6,0.0,0,0,63997,44393.14,2,3,6,4,Nazarene Bible College
27.3,0.0,0,1,45998,48268.43,5,2,1,1,Enugu State University of Science and Technology
55.1,0.0,0,0,45998,49944.65,3,8,6,1,Nazarene Bible College
51.0,1.0,1,0,81996,61161.73,5,5,2,1,St. Norbert College
28.5,0.0,0,0,45998,46756.43,3,3,2,3,Enugu State University of Science and Technology
42.1,0.0,0,1,81996,54461.48,4,4,1,2,Université de Corse Pascal Paoli
40.0,1.0,0,0,45998,46623.24,5,8,1,4,St. Norbert College
21.9,1.0,1,1,63997,62922.4,5,4,4,2,Enugu State University of Science and Technology
49.7,0.0,0,0,63997,55431.81,2,5,3,3,Université de Corse Pascal Paoli
31.1,0.0,0,1,27999,43556.12,5,5,2,2,Nazarene Bible College
26.4,1.0,1,0,27999,53289.69,5,5,1,4,NHTV Breda University of Professional Education
41.6,1.0,0,0,45998,49000.68,4,3,2,3,St. Norbert College
38.3,1.0,1,1,27999,42759.89,4,5,4,5,St. Norbert College
59.4,0.0,0,0,63997,41749.06,1,3,1,4,COMSATS Institute of Information Technology
41.4,0.0,0,0,81996,49655.66,3,4,7,2,St. Norbert College
18.5,0.0,1,0,27999,41771.52,4,5,3,3,St. Norbert College
39.6,1.0,1,0,27999,52301.94,5,3,5,2,St. Norbert College
37.4,1.0,0,0,45998,45042.67,5,4,5,2,St. Norbert College
30.6,0.0,0,1,81996,48789.25,3,2,1,2,Enugu State University of Science and Technology
32.1,1.0,0,1,27999,50705.94,5,4,1,4,St. Norbert College
57.6,1.0,0,0,81996,62043.6,5,5,3,1,Nazarene Bible College
40.8,1.0,1,0,81996,42422.89,5,8,2,4,COMSATS Institute of Information Technology
43.4,1.0,0,0,81996,49301.47,3,1,3,3,St. Norbert College
37.5,0.0,1,0,63997,48960.17,2,5,2,1,Enugu State University of Science and Technology
36.3,0.0,1,0,10000,46857.33,3,2,4,2,NHTV Breda University of Professional Education
36.7,1.0,1,0,27999,55252.0,2,8,1,3,St. Norbert College
42.8,0.0,1,0,81996,44037.99,4,4,1,2,COMSATS Institute of Information Technology
40.2,0.0,0,1,45998,48326.64,5,4,3,3,Université de Corse Pascal Paoli
45.1,0.0,0,0,10000,45348.88,5,7,5,2,St. Norbert College
27.4,1.0,0,0,81996,44557.14,5,2,1,3,St. Norbert College
34.6,0.0,1,1,10000,44464.4,3,4,2,4,Enugu State University of Science and Technology
33.7,0.0,0,0,63997,52254.2,4,1,1,1,St. Norbert College
51.3,1.0,1,1,45998,45660.53,5,4,3,5,St. Norbert College
24.8,0.0,1,1,27999,44247.92,3,7,1,1,NHTV Breda University of Professional Education
46.5,0.0,0,0,81996,41093.37,3,8,1,2,Université de Corse Pascal Paoli
44.5,1.0,0,0,63997,49076.5,3,5,1,3,St. Norbert College
48.1,0.0,1,1,63997,48321.48,1,7,3,4,St. Norbert College
20.6,0.0,1,1,27999,40963.76,3,2,1,4,Nazarene Bible College
25.9,0.0,1,1,81996,46446.8,2,3,6,2,St. Norbert College
32.3,1.0,1,0,63997,54640.07,4,4,6,4,Enugu State University of Science and Technology
34.1,1.0,0,1,81996,59139.86,2,5,2,4,NHTV Breda University of Professional Education
47.0,0.0,1,0,27999,53351.71,4,2,1,3,St. Norbert College
43.9,0.0,0,1,27999,44759.97,4,4,1,3,Enugu State University of Science and Technology
39.9,0.0,0,1,27999,44355.26,3,5,3,1,NHTV Breda University of Professional Education
52.9,1.0,0,1,27999,48555.88,2,7,1,5,Enugu State University of Science and Technology
37.0,1.0,0,1,81996,59111.41,5,4,1,1,St. Norbert College
39.0,0.0,1,1,10000,47844.84,5,1,2,2,COMSATS Institute of Information Technology
21.4,0.0,0,0,63997,43198.97,5,5,1,3,COMSATS Institute of Information Technology
21.3,0.0,1,1,27999,42599.75,5,4,1,3,Université de Corse Pascal Paoli
21.8,0.0,0,1,81996,43434.74,3,5,1,1,NHTV Breda University of Professional Education
37.6,1.0,1,0,27999,59563.43,2,8,4,4,Enugu State University of Science and Technology
36.1,0.0,0,1,81996,46918.06,3,2,2,3,St. Norbert College
28.9,0.0,0,1,27999,45983.68,3,4,6,1,Université de Corse Pascal Paoli
27.2,1.0,0,1,45998,55989.87,5,5,5,3,COMSATS Institute of Information Technology
24.4,1.0,0,0,63997,54900.92,3,4,6,4,St. Norbert College
40.1,0.0,0,1,10000,42629.3,4,6,6,1,Nazarene Bible College
53.7,1.0,1,0,27999,44696.02,5,8,3,2,Nazarene Bible College
36.2,1.0,0,1,10000,50441.28,5,4,4,1,St. Norbert College
37.2,1.0,0,0,27999,47267.92,3,6,3,2,St. Norbert College
21.4,0.0,0,1,81996,46804.74,5,5,1,2,NHTV Breda University of Professional Education
59.7,1.0,0,1,81996,46744.81,5,3,1,2,St. Norbert College
41.2,0.0,1,0,10000,54787.03,4,4,3,1,COMSATS Institute of Information Technology
50.2,0.0,0,0,27999,50277.11,3,7,1,1,Enugu State University of Science and Technology
48.4,0.0,1,1,10000,40195.67,5,3,2,2,St. Norbert College
30.1,1.0,0,1,63997,46412.42,5,6,1,3,COMSATS Institute of Information Technology
29.9,1.0,1,0,45998,46103.09,5,6,2,5,NHTV Breda University of Professional Education
62.8,0.0,0,1,81996,48224.52,3,1,1,1,Université de Corse Pascal Paoli
28.6,0.0,0,1,63997,43334.47,4,4,4,1,NHTV Breda University of Professional Education
33.9,0.0,0,1,63997,43772.35,1,6,1,3,NHTV Breda University of Professional Education
39.8,0.0,0,1,10000,46218.71,2,5,1,1,Enugu State University of Science and Technology
47.1,0.0,0,0,63997,49557.87,3,2,1,1,St. Norbert College
38.9,1.0,1,1,81996,65040.01,5,5,4,4,Université de Corse Pascal Paoli
49.0,1.0,1,1,63997,50964.0,5,6,3,5,St. Norbert College
51.9,0.0,1,0,27999,44224.96,5,3,2,1,NHTV Breda University of Professional Education
37.2,0.0,1,1,45998,45573.42,3,6,1,1,NHTV Breda University of Professional Education
17.6,1.0,0,0,81996,53403.96,4,4,4,1,St. Norbert College
16.9,1.0,0,1,27999,48020.73,5,8,1,3,Enugu State University of Science and Technology
44.7,0.0,1,1,81996,48136.66,5,3,1,2,NHTV Breda University of Professional Education
24.5,0.0,0,0,45998,44535.37,2,6,3,2,Nazarene Bible College
41.0,0.0,0,1,63997,44953.97,5,6,1,1,Université de Corse Pascal Paoli
35.4,0.0,1,0,45998,58017.83,1,2,1,1,St. Norbert College
48.1,1.0,1,1,81996,54535.62,5,5,2,3,Nazarene Bible College
17.0,0.0,1,1,45998,53139.59,5,5,2,2,NHTV Breda University of Professional Education
26.5,1.0,0,0,27999,46226.45,4,5,1,3,St. Norbert College
48.0,1.0,1,1,81996,50916.63,5,4,1,5,Nazarene Bible College
38.6,1.0,0,1,45998,44634.43,5,4,5,4,St. Norbert College
52.0,1.0,1,0,63997,48089.82,4,4,4,3,St. Norbert College
41.5,0.0,1,1,45998,41325.22,1,6,5,5,Université de Corse Pascal Paoli
22.3,1.0,1,0,27999,44878.07,2,3,3,3,Enugu State University of Science and Technology
27.1,1.0,1,1,10000,47021.79,5,3,7,3,Enugu State University of Science and Technology
27.3,0.0,1,0,81996,43938.09,5,5,3,1,Enugu State University of Science and Technology
42.6,1.0,0,1,81996,47499.21,5,5,4,5,Enugu State University of Science and Technology
40.9,0.0,0,1,45998,44867.38,3,4,2,2,Enugu State University of Science and Technology
41.1,1.0,1,1,10000,49921.47,5,3,2,4,Enugu State University of Science and Technology
31.6,0.0,1,0,27999,47454.87,3,3,1,1,Enugu State University of Science and Technology
44.0,1.0,1,1,81996,49790.13,3,7,5,4,Enugu State University of Science and Technology
19.2,0.0,0,0,27999,49773.56,4,5,1,1,Enugu State University of Science and Technology
34.7,1.0,1,0,63997,63951.65,3,3,2,4,St. Norbert College
47.0,0.0,0,0,63997,46639.09,4,5,4,1,NHTV Breda University of Professional Education
40.4,0.0,1,1,81996,49895.67,3,3,2,3,Université de Corse Pascal Paoli
60.8,1.0,0,0,63997,51411.3,3,4,2,2,St. Norbert College
25.8,0.0,1,1,10000,47453.64,5,5,1,1,Enugu State University of Science and Technology
30.2,0.0,0,1,63997,53667.08,3,8,2,4,Université de Corse Pascal Paoli
36.3,1.0,1,1,81996,52358.79,4,2,1,3,St. Norbert College
35.0,1.0,0,0,81996,57122.22,3,3,5,3,Enugu State University of Science and Technology
45.3,0.0,0,1,45998,45255.73,3,1,3,4,Université de Corse Pascal Paoli
23.2,1.0,0,0,63997,56149.54,4,4,7,2,Enugu State University of Science and Technology
33.4,1.0,0,1,27999,47164.45,4,6,3,4,St. Norbert College
38.1,0.0,0,0,27999,45706.51,5,4,2,1,COMSATS Institute of Information Technology
41.1,0.0,1,1,63997,46065.33,5,5,1,1,St. Norbert College
37.9,0.0,1,1,81996,45329.63,5,7,2,1,NHTV Breda University of Professional Education
32.0,0.0,0,1,63997,44489.1,5,1,6,1,Université de Corse Pascal Paoli
38.7,0.0,0,1,45998,42960.72,3,5,2,1,Enugu State University of Science and Technology
32.4,0.0,0,1,10000,52004.97,3,4,1,1,St. Norbert College
27.9,0.0,0,0,10000,43569.67,4,2,4,1,Université de Corse Pascal Paoli
41.6,0.0,1,1,45998,49830.53,5,5,1,1,St. Norbert College
31.5,1.0,1,0,10000,45632.92,5,6,4,3,Université de Corse Pascal Paoli
20.7,0.0,0,0,27999,43798.2,1,4,2,1,St. Norbert College
38.8,0.0,0,1,27999,48845.72,4,7,1,1,St. Norbert College
24.2,0.0,0,0,81996,49313.12,2,3,1,1,St. Norbert College
41.0,1.0,1,0,10000,45735.12,4,3,3,3,Enugu State University of Science and Technology
49.6,1.0,1,0,45998,61980.79,4,5,2,5,Enugu State University of Science and Technology
23.7,0.0,1,0,81996,54920.68,2,1,1,2,Enugu State University of Science and Technology
41.6,0.0,1,0,63997,53066.27,5,3,7,1,NHTV Breda University of Professional Education
41.6,0.0,1,0,63997,41196.39,4,4,1,2,St. Norbert College
37.0,1.0,0,1,81996,47086.67,4,2,1,3,St. Norbert College
54.0,1.0,0,0,81996,40716.03,3,4,1,1,St. Norbert College
45.4,0.0,1,1,10000,43089.35,4,2,3,3,COMSATS Institute of Information Technology
37.1,1.0,0,1,81996,45346.08,5,2,2,3,Enugu State University of Science and Technology
34.1,1.0,0,1,45998,43159.78,5,4,1,4,Enugu State University of Science and Technology
50.5,0.0,1,1,45998,41788.52,2,2,2,2,Enugu State University of Science and Technology
37.3,0.0,1,1,27999,50368.12,5,3,4,1,St. Norbert College
19.7,0.0,1,0,10000,51820.83,3,4,1,1,COMSATS Institute of Information Technology
20.0,0.0,1,1,63997,47026.86,1,1,2,1,Enugu State University of Science and Technology
48.4,0.0,1,1,63997,42305.0,1,2,2,2,Enugu State University of Science and Technology
57.4,0.0,0,0,10000,42714.38,2,2,1,1,COMSATS Institute of Information Technology
50.2,1.0,0,0,81996,46107.55,3,8,1,3,St. Norbert College
53.0,0.0,0,0,45998,59038.45,2,5,1,1,St. Norbert College
39.2,1.0,0,0,81996,58265.07,4,3,2,1,Enugu State University of Science and Technology
47.4,0.0,1,0,63997,41723.19,4,3,2,1,St. Norbert College
31.6,1.0,0,1,27999,54154.14,4,3,3,4,St. Norbert College
29.0,1.0,1,0,45998,54514.63,5,1,1,1,St. Norbert College
45.1,0.0,0,1,63997,43783.7,5,1,2,2,NHTV Breda University of Professional Education
32.9,1.0,0,0,45998,50773.49,5,8,4,1,Enugu State University of Science and Technology
19.9,1.0,1,0,10000,54246.71,4,5,1,2,St. Norbert College
38.2,1.0,0,0,81996,45986.13,4,5,1,2,St. Norbert College
40.4,0.0,0,1,45998,42197.45,4,8,1,3,St. Norbert College
35.4,0.0,1,1,81996,42111.35,3,2,2,3,St. Norbert College
28.3,0.0,0,0,81996,67195.17,3,5,4,1,COMSATS Institute of Information Technology
25.3,0.0,0,0,81996,47802.06,3,6,3,2,St. Norbert College
54.1,1.0,0,1,81996,44505.69,4,5,7,4,St. Norbert College
19.8,0.0,0,1,45998,44679.06,5,1,1,4,St. Norbert College
56.7,1.0,0,0,63997,58572.33,3,8,6,1,St. Norbert College
29.0,1.0,1,0,81996,64436.02,1,4,2,4,St. Norbert College
58.4,1.0,1,1,27999,46231.23,5,2,5,3,St. Norbert College
48.1,1.0,0,0,63997,45524.56,4,3,1,4,Enugu State University of Science and Technology
37.8,0.0,1,1,27999,43780.78,5,3,1,2,Enugu State University of Science and Technology
43.0,0.0,0,1,63997,53661.63,5,5,1,2,Enugu State University of Science and Technology
46.6,1.0,0,0,27999,48204.65,5,4,2,1,St. Norbert College
39.2,0.0,0,1,27999,46305.45,2,4,1,4,Nazarene Bible College
66.1,0.0,0,0,45998,49319.48,3,2,2,1,COMSATS Institute of Information Technology
42.2,0.0,1,0,45998,49478.63,3,3,2,1,St. Norbert College
34.6,0.0,0,1,81996,45130.7,3,6,6,4,Enugu State University of Science and Technology
18.3,0.0,0,0,45998,48008.46,5,1,3,2,COMSATS Institute of Information Technology
19.8,1.0,1,0,45998,61033.5,3,3,1,3,St. Norbert College
40.4,1.0,1,1,27999,49002.66,4,2,4,3,St. Norbert College
32.1,0.0,0,1,81996,43291.38,5,6,2,1,St. Norbert College
29.2,0.0,0,0,27999,43197.77,3,5,5,4,COMSATS Institute of Information Technology
45.1,0.0,0,1,81996,43997.64,5,3,1,1,Nazarene Bible College
36.1,0.0,0,1,27999,43039.95,2,5,1,1,Enugu State University of Science and Technology
49.1,0.0,0,1,27999,47698.91,5,3,7,1,COMSATS Institute of Information Technology
30.3,1.0,1,1,27999,53842.14,4,3,2,3,St. Norbert College
31.9,0.0,1,1,27999,46583.87,4,6,1,1,Enugu State University of Science and Technology
19.8,0.0,1,1,45998,45238.02,1,3,2,4,Enugu State University of Science and Technology
29.7,0.0,0,0,63997,48839.55,3,1,7,1,NHTV Breda University of Professional Education
21.7,1.0,0,0,27999,52997.44,3,8,7,4,Enugu State University of Science and Technology
40.6,0.0,1,1,81996,46849.98,4,5,7,3,Nazarene Bible College
25.8,0.0,1,1,45998,44837.93,4,5,3,1,St. Norbert College
39.8,0.0,1,1,45998,42524.89,2,7,2,3,St. Norbert College
23.8,1.0,1,0,81996,57157.58,5,2,6,3,St. Norbert College
41.1,1.0,0,1,45998,51127.93,5,4,2,3,COMSATS Institute of Information Technology
45.2,0.0,0,1,81996,46430.82,2,4,1,4,Université de Corse Pascal Paoli
34.1,1.0,0,1,27999,54823.29,3,3,2,5,NHTV Breda University of Professional Education
40.6,0.0,0,1,81996,48038.43,4,6,2,1,COMSATS Institute of Information Technology
43.3,0.0,0,0,27999,51285.08,5,4,1,1,Université de Corse Pascal Paoli
17.6,0.0,1,0,10000,47515.48,5,8,3,1,NHTV Breda University of Professional Education
36.7,0.0,0,1,63997,77873.79,2,5,1,1,COMSATS Institute of Information Technology
50.7,0.0,1,1,45998,51782.46,4,1,3,3,COMSATS Institute of Information Technology
38.3,1.0,0,1,63997,57662.91,3,4,2,4,NHTV Breda University of Professional Education
37.8,0.0,1,0,45998,47741.63,5,3,1,2,St. Norbert College
48.4,0.0,1,1,63997,42717.27,4,3,2,3,St. Norbert College
52.2,0.0,0,0,45998,50059.93,2,3,4,1,NHTV Breda University of Professional Education
28.1,0.0,1,1,45998,43414.95,4,4,1,1,COMSATS Institute of Information Technology
41.8,1.0,1,1,10000,55132.64,4,5,1,2,St. Norbert College
32.4,0.0,1,1,45998,41743.53,5,8,1,1,Université de Corse Pascal Paoli
42.1,1.0,0,0,81996,46382.58,2,3,2,3,St. Norbert College
49.4,1.0,0,0,27999,42769.73,2,7,1,5,St. Norbert College
25.3,1.0,0,0,63997,58365.69,5,4,3,1,COMSATS Institute of Information Technology
51.1,0.0,0,1,45998,54011.96,5,5,2,1,COMSATS Institute of Information Technology
34.4,0.0,1,0,63997,49100.04,3,8,5,2,Université de Corse Pascal Paoli
40.3,0.0,0,1,45998,48607.19,2,4,4,2,Enugu State University of Science and Technology
32.2,1.0,0,1,45998,53105.22,3,5,5,5,Enugu State University of Science and Technology
49.0,1.0,1,1,63997,42590.18,5,7,1,3,St. Norbert College
59.7,1.0,0,0,10000,47698.61,3,4,3,4,COMSATS Institute of Information Technology
43.9,0.0,0,1,81996,52457.51,2,2,1,2,St. Norbert College
35.0,0.0,0,1,10000,49976.85,5,7,5,2,COMSATS Institute of Information Technology
44.9,0.0,0,1,81996,47881.91,2,3,1,2,St. Norbert College
23.4,1.0,1,0,81996,49321.63,5,8,1,4,St. Norbert College
24.9,1.0,0,0,63997,42379.64,5,4,3,3,St. Norbert College
42.0,0.0,1,0,81996,46623.59,4,1,2,1,COMSATS Institute of Information Technology
17.6,0.0,0,1,45998,48598.68,5,3,1,1,Nazarene Bible College
41.3,0.0,0,1,45998,43162.47,5,3,7,2,Enugu State University of Science and Technology
25.8,0.0,1,0,27999,46405.16,5,5,1,1,Enugu State University of Science and Technology
35.2,0.0,1,1,81996,46141.39,2,2,2,3,COMSATS Institute of Information Technology
26.9,0.0,1,0,10000,41626.26,2,2,2,1,Enugu State University of Science and Technology
45.2,0.0,1,0,45998,49425.48,5,5,1,4,Enugu State University of Science and Technology
48.1,0.0,1,0,10000,44748.44,4,8,5,1,St. Norbert College
44.7,1.0,0,0,81996,47937.59,5,2,1,3,St. Norbert College
47.3,0.0,0,0,81996,41656.97,4,4,1,3,NHTV Breda University of Professional Education
35.7,1.0,0,0,27999,43471.1,4,4,1,1,St. Norbert College
32.7,0.0,1,1,81996,42387.43,2,3,1,1,St. Norbert College
38.2,0.0,0,1,81996,47781.32,3,6,7,3,NHTV Breda University of Professional Education
10.7,0.0,0,1,45998,44854.59,5,4,1,4,St. Norbert College
13.3,1.0,1,1,27999,52644.09,3,8,3,5,St. Norbert College
38.3,1.0,0,0,45998,49823.16,4,4,7,3,St. Norbert College
6.3,0.0,1,1,27999,43184.52,3,7,1,2,St. Norbert College
41.2,0.0,1,1,63997,46917.41,3,7,3,3,Nazarene Bible College
32.6,0.0,0,1,81996,45270.72,1,6,7,1,St. Norbert College
38.1,1.0,0,1,27999,67942.04,4,2,7,4,Enugu State University of Science and Technology
23.6,0.0,1,1,27999,44516.65,5,2,3,2,COMSATS Institute of Information Technology
40.5,0.0,1,0,63997,62465.0,2,8,1,4,Université de Corse Pascal Paoli
46.2,1.0,0,0,81996,60320.87,4,3,1,2,Nazarene Bible College
33.9,0.0,0,1,63997,49237.45,5,5,6,1,St. Norbert College
54.8,1.0,0,1,27999,66856.36,3,5,1,2,Enugu State University of Science and Technology
70.2,1.0,0,0,10000,44934.67,4,6,3,4,St. Norbert College
41.1,1.0,0,0,81996,58862.11,5,4,1,3,St. Norbert College
48.3,1.0,0,1,81996,42477.41,5,1,1,4,Enugu State University of Science and Technology
52.0,0.0,0,0,81996,63294.94,3,3,2,2,Université de Corse Pascal Paoli
31.7,1.0,1,0,81996,48126.67,5,7,1,5,Enugu State University of Science and Technology
40.6,0.0,1,1,45998,50353.36,2,6,2,2,St. Norbert College
35.4,1.0,0,0,63997,60623.36,4,5,1,2,NHTV Breda University of Professional Education
43.1,1.0,1,1,45998,58573.48,5,3,7,1,St. Norbert College
33.9,0.0,0,1,63997,41186.75,4,3,1,1,Enugu State University of Science and Technology
42.1,0.0,1,1,63997,63922.76,5,8,3,1,Université de Corse Pascal Paoli
36.1,0.0,1,0,63997,42129.98,5,2,2,1,Enugu State University of Science and Technology
21.2,0.0,1,1,63997,49665.74,5,5,2,2,Enugu State University of Science and Technology
24.9,0.0,0,1,63997,45325.75,5,7,3,3,Nazarene Bible College
55.8,0.0,1,0,10000,46980.91,5,4,5,2,Nazarene Bible College
45.4,0.0,1,0,45998,42299.12,3,6,2,3,St. Norbert College
36.9,0.0,1,0,81996,54863.93,3,1,1,3,COMSATS Institute of Information Technology
31.5,0.0,1,0,27999,45553.03,3,8,1,1,Enugu State University of Science and Technology
25.0,1.0,0,0,63997,51320.31,5,4,3,3,St. Norbert College
34.5,0.0,0,0,81996,44165.43,4,3,1,1,St. Norbert College
43.5,0.0,1,1,81996,41559.05,3,4,4,3,St. Norbert College
64.1,0.0,1,1,45998,47667.71,4,3,1,1,St. Norbert College
42.1,0.0,1,0,27999,42661.38,4,7,2,2,Enugu State University of Science and Technology
30.8,0.0,1,1,63997,45763.81,3,3,2,3,NHTV Breda University of Professional Education
32.9,0.0,0,1,45998,48275.68,2,1,6,4,St. Norbert College
43.0,1.0,0,1,10000,51677.19,5,3,1,4,NHTV Breda University of Professional Education
40.8,0.0,0,0,27999,48502.24,5,7,1,1,COMSATS Institute of Information Technology
38.0,1.0,1,1,45998,48003.5,5,6,1,4,St. Norbert College
36.0,0.0,1,1,63997,45298.26,5,2,1,1,St. Norbert College
47.9,1.0,1,1,27999,53302.46,4,3,1,3,St. Norbert College
40.2,0.0,1,1,10000,52316.27,2,8,1,4,Nazarene Bible College
35.1,0.0,0,0,81996,41176.08,5,5,1,1,Université de Corse Pascal Paoli
21.5,1.0,0,0,63997,54756.39,3,3,7,5,Université de Corse Pascal Paoli
32.1,0.0,0,1,81996,44423.57,2,4,1,4,St. Norbert College
41.5,0.0,0,1,10000,45779.88,5,3,3,2,Enugu State University of Science and Technology
31.2,0.0,0,1,81996,47962.75,5,1,1,1,Enugu State University of Science and Technology
23.1,0.0,0,1,10000,45807.09,5,3,2,1,St. Norbert College
41.9,1.0,0,1,63997,53804.88,4,5,2,4,St. Norbert College
25.5,1.0,1,1,81996,51915.66,5,7,1,3,St. Norbert College
39.6,1.0,0,0,63997,51806.03,5,3,2,3,NHTV Breda University of Professional Education
35.2,0.0,0,0,45998,50036.8,1,4,1,3,Enugu State University of Science and Technology
34.6,0.0,0,1,45998,42986.89,5,3,3,1,Enugu State University of Science and Technology
46.4,1.0,0,1,81996,49165.71,5,4,2,3,St. Norbert College
43.8,0.0,1,1,81996,53197.26,2,7,1,1,COMSATS Institute of Information Technology
46.0,1.0,1,0,45998,43423.09,5,4,1,3,St. Norbert College
32.3,0.0,1,1,81996,42879.12,4,7,1,4,NHTV Breda University of Professional Education
20.3,0.0,1,0,81996,47713.75,3,4,1,4,Enugu State University of Science and Technology
31.0,0.0,1,1,27999,45007.82,5,5,1,2,COMSATS Institute of Information Technology
34.6,0.0,0,1,27999,48078.73,2,3,5,4,St. Norbert College
34.5,0.0,0,0,81996,52112.41,4,2,4,2,Nazarene Bible College
23.1,0.0,1,1,81996,46038.44,2,5,4,2,St. Norbert College
9.7,0.0,0,0,63997,42420.06,5,3,4,1,St. Norbert College
62.5,1.0,1,1,81996,44726.23,5,4,4,5,Université de Corse Pascal Paoli
30.4,0.0,1,1,10000,56059.46,2,3,7,4,COMSATS Institute of Information Technology
31.7,0.0,0,1,10000,52275.67,5,4,2,2,COMSATS Institute of Information Technology
17.7,1.0,1,0,81996,48015.51,5,3,2,4,Enugu State University of Science and Technology
24.9,0.0,0,0,45998,49513.74,3,6,4,2,Enugu State University of Science and Technology
46.8,0.0,0,0,45998,46241.27,3,5,1,2,Enugu State University of Science and Technology
20.0,0.0,0,1,27999,50009.34,5,6,7,1,St. Norbert College
41.7,1.0,0,1,63997,42149.7,3,2,2,4,St. Norbert College
49.4,0.0,0,1,81996,46963.87,2,3,1,4,NHTV Breda University of Professional Education
6.4,1.0,1,1,27999,53263.71,5,5,3,3,Enugu State University of Science and Technology
29.6,0.0,0,1,45998,74837.17,4,3,7,1,NHTV Breda University of Professional Education
30.5,1.0,0,1,45998,55719.01,4,2,1,4,Enugu State University of Science and Technology
49.5,1.0,1,0,45998,58879.67,4,3,7,3,Enugu State University of Science and Technology
45.8,1.0,1,1,10000,57768.24,5,3,1,2,St. Norbert College
33.8,1.0,1,1,45998,56412.31,4,4,1,5,COMSATS Institute of Information Technology
58.6,0.0,1,0,27999,55097.63,2,7,5,3,Enugu State University of Science and Technology
42.3,0.0,0,1,45998,49073.3,2,6,1,3,St. Norbert College
44.8,0.0,0,1,63997,44642.09,1,2,4,2,COMSATS Institute of Information Technology
43.6,0.0,0,0,27999,45839.92,5,4,1,1,NHTV Breda University of Professional Education
34.0,1.0,0,1,45998,64239.6,5,4,1,1,Enugu State University of Science and Technology
28.7,1.0,0,1,81996,42417.42,5,6,7,3,Enugu State University of Science and Technology
26.1,1.0,0,1,10000,46249.62,5,4,1,1,Enugu State University of Science and Technology
44.1,1.0,1,1,81996,43600.83,5,2,3,4,Enugu State University of Science and Technology
28.0,1.0,0,0,45998,51005.81,5,3,1,4,Enugu State University of Science and Technology
55.2,1.0,1,1,81996,47547.65,5,7,1,3,NHTV Breda University of Professional Education
22.6,0.0,1,0,27999,46243.15,4,3,2,1,St. Norbert College
45.3,1.0,1,0,45998,64996.44,5,3,4,4,Université de Corse Pascal Paoli
26.8,0.0,1,1,81996,43423.87,5,6,1,2,NHTV Breda University of Professional Education
23.4,1.0,0,1,10000,45270.95,4,5,1,4,St. Norbert College
36.5,1.0,0,1,63997,55711.56,4,8,3,4,St. Norbert College
39.7,1.0,0,0,27999,48474.32,5,1,1,2,St. Norbert College
42.9,0.0,1,0,63997,41998.5,1,2,1,1,Université de Corse Pascal Paoli
30.5,0.0,1,1,63997,44744.26,5,7,6,1,St. Norbert College
49.8,0.0,1,1,45998,40862.04,2,5,6,1,COMSATS Institute of Information Technology
39.7,0.0,0,0,81996,44836.94,2,3,2,2,Enugu State University of Science and Technology
26.1,0.0,1,1,45998,64731.15,3,5,3,2,Enugu State University of Science and Technology
35.5,1.0,0,0,45998,68428.6,5,3,3,1,Université de Corse Pascal Paoli
